Baltimore,locatedIn,S_MD
Bethlehem,locatedIn,S_PA
Bloomington,locatedIn,S_IL
Buffalo,locatedIn,S_NY
DAL,serveCity,Dallas
Durham,locatedIn,S_NC
Easton,locatedIn,S_PA
FLL,serveCity,Fort_Lauderdale
Fort_Lauderdale,locatedIn,S_FL
JFK,serveCity,New_York
LAS,serveCity,Las_Vegas
LEX,serveCity,Lexington
Las_Vegas,locatedIn,S_NV
Lexington,locatedIn,S_KY
Louisville,locatedIn,S_KY
Newport_News,locatedIn,S_VA
Normal,locatedIn,S_IL
OAK,serveCity,Oakland
Oakland,locatedIn,S_CA
PHF,serveCity,Newport_News
PHF,serveCity,Williamsburg
RDU,serveCity,Raleigh
RDU,serveCity,Durham
ROC,serveCity,Rochester
Raleigh,locatedIn,S_NC
Rochester,locatedIn,S_NY
SAT,serveCity,San_Antonio
SAV,hasRecDep4,dep_SAV_r4
SAV,recentDepProperty,dep_SAV_r4
SDF,serveCity,Louisville
SEA,serveCity,Seattle
SYR,serveCity,Syracuse
San_Antonio,locatedIn,S_TX
Seattle,locatedIn,S_WA
Syracuse,locatedIn,S_NY
Williamsburg,locatedIn,S_VA
dep,hasFlight,DL_1553
dep_ATL_r1,hasDest,IAH
dep_ATL_r1,hasFlight,DL_2208
dep_ATL_r10,hasCarrier,DL
dep_ATL_r10,hasCarrier,car
dep_ATL_r10,hasDest,SDF
dep_ATL_r10,hasFlight,DL_2184
dep_ATL_r11,hasCarrier,EV
dep_ATL_r11,hasDest,ABE
dep_ATL_r11,hasFlight,EV_5412
dep_ATL_r12,hasDest,BWI
dep_ATL_r12,hasFlight,DL_1824
dep_ATL_r13,hasDest,IAD
dep_ATL_r13,hasFlight,DL_1230
dep_ATL_r2,hasDest,MCI
dep_ATL_r2,hasFlight,DL_2256
dep_ATL_r3,hasDest,BNA
dep_ATL_r3,hasFlight,DL_2599
dep_ATL_r4,hasCarrier,EV
dep_ATL_r4,hasDest,ATW
dep_ATL_r4,hasFlight,EV_5134
dep_ATL_r5,hasCarrier,EV
dep_ATL_r5,hasDest,PHF
dep_ATL_r5,hasFlight,EV_5608
dep_ATL_r6,hasDest,SYR
dep_ATL_r6,hasFlight,DL_2006
dep_ATL_r7,hasDest,LEX
dep_ATL_r7,hasFlight,DL_1135
dep_ATL_r8,hasDest,BMI
dep_ATL_r8,hasFlight,DL_698
dep_ATL_r9,hasDest,ROC
dep_ATL_r9,hasFlight,DL_1584
dep_BNA_r1,hasDest,OAK
dep_BNA_r1,hasFlight,WN_611
dep_BNA_r2,hasDest,DAL
dep_BNA_r2,hasFlight,WN_2915
dep_BNA_r3,hasCarrier,WN
dep_BNA_r3,hasDest,RDU
dep_BNA_r3,hasFlight,WN_2698
dep_BNA_r4,hasCarrier,UA
dep_BNA_r4,hasDest,DEN
dep_BNA_r4,hasFlight,UA_829
dep_BNA_r5,hasDest,LAS
dep_BNA_r5,hasFlight,WN_2931
dep_CLT_r1,hasFlight,AA_1737
dep_CLT_r2,hasDest,DCA
dep_CLT_r2,hasFlight,AA_1938
dep_CLT_r3,hasDest,BWI
dep_CLT_r3,hasFlight,AA_2063
dep_CLT_r4,hasDest,SAT
dep_CLT_r4,hasFlight,AA_1827
dep_CLT_r5,hasDest,BUF
dep_CLT_r5,hasFlight,AA_1858
dep_DL_ori_r1,hasDest,IAH
dep_DL_ori_r1,hasFlight,DL_2208
dep_DL_ori_r2,hasDest,MCI
dep_DL_ori_r2,hasFlight,DL_2256
dep_DL_ori_r3,hasDest,BNA
dep_DL_ori_r3,hasFlight,DL_2599
dep_DL_ori_r4,hasDest,SYR
dep_DL_ori_r4,hasFlight,DL_2006
dep_DL_ori_r5,hasDest,LEX
dep_DL_ori_r5,hasFlight,DL_1135
dep_SAV_r1,hasCarrier,DL
dep_SAV_r1,hasCarrier,car
dep_SAV_r1,hasDest,ATL
dep_SAV_r1,hasDest,ori
dep_SAV_r1,hasFlight,DL_1265
dep_SAV_r2,hasCarrier,B6
dep_SAV_r2,hasDest,BOS
dep_SAV_r2,hasFlight,B6_50
dep_SAV_r3,hasDest,ORD
dep_SAV_r3,hasFlight,EV_4260
dep_SAV_r4,hasCarrier,DL
dep_SAV_r4,hasCarrier,car
dep_SAV_r4,hasDest,ATL
dep_SAV_r4,hasDest,ori
dep_SAV_r4,hasFlight,DL_1752
dep_SAV_r4,hasOrigin,SAV
dep_car_r1,hasDest,JFK
dep_car_r1,hasFlight,DL_4
dep_car_r1,hasOrigin,FLL
dep_car_r10,hasDest,LGA
dep_car_r10,hasFlight,DL_2683
dep_car_r10,hasOrigin,BOS
dep_car_r2,hasDest,JFK
dep_car_r2,hasFlight,DL_1109
dep_car_r2,hasOrigin,SEA
dep_car_r3,hasDest,ATL
dep_car_r3,hasDest,ori
dep_car_r3,hasFlight,DL_1153
