Carrier,FlightNum,FlightDate,CRSDepTime,DepDelay
DL,2111,2010-08-02,1505,-4.00
DL,2011,2010-08-02,1615,3.00
DL,1911,2010-08-02,1715,-1.00
DL,2111,2010-08-03,1505,-2.00
DL,2011,2010-08-03,1615,13.00
DL,1911,2010-08-03,1715,16.00
DL,2111,2010-08-04,1505,-4.00
DL,2011,2010-08-04,1615,0.00
DL,1911,2010-08-04,1715,5.00
DL,2111,2010-08-05,1505,9.00
DL,2011,2010-08-05,1615,15.00
DL,1911,2010-08-05,1715,0.00
DL,2111,2010-08-06,1505,12.00
DL,2011,2010-08-06,1615,21.00
DL,1911,2010-08-06,1715,
DL,2111,2010-08-07,1505,17.00
DL,2011,2010-08-07,1615,6.00
DL,2111,2010-08-08,1505,34.00
DL,2011,2010-08-08,1615,99.00
DL,1911,2010-08-08,1715,10.00
DL,2111,2010-08-09,1505,1.00
DL,2011,2010-08-09,1615,-3.00
DL,1911,2010-08-09,1715,10.00
DL,2111,2010-08-10,1505,-3.00
DL,2011,2010-08-10,1615,19.00
DL,1911,2010-08-10,1715,-1.00
DL,2111,2010-08-11,1505,-1.00
DL,2011,2010-08-11,1615,9.00
DL,1911,2010-08-11,1715,40.00
DL,2111,2010-08-12,1505,-2.00
DL,2011,2010-08-12,1615,30.00
DL,1911,2010-08-12,1715,-2.00
DL,2111,2010-08-13,1505,-3.00
DL,2011,2010-08-13,1615,12.00
DL,1911,2010-08-13,1715,-7.00
DL,2111,2010-08-14,1505,7.00
DL,2011,2010-08-14,1615,51.00
DL,2111,2010-08-15,1505,-3.00
DL,2011,2010-08-15,1615,16.00
DL,1911,2010-08-15,1715,-1.00
DL,2111,2010-08-16,1505,-4.00
DL,2011,2010-08-16,1615,135.00
DL,1911,2010-08-16,1715,37.00
DL,2111,2010-08-17,1500,19.00
DL,2011,2010-08-17,1615,18.00
DL,1911,2010-08-17,1717,-2.00
DL,2111,2010-08-18,1500,83.00
DL,2011,2010-08-18,1615,-3.00
DL,1911,2010-08-18,1717,1.00
DL,2111,2010-08-19,1500,-2.00
DL,2011,2010-08-19,1615,7.00
DL,1911,2010-08-19,1717,23.00
DL,2111,2010-08-20,1500,12.00
DL,2011,2010-08-20,1615,23.00
DL,1911,2010-08-20,1717,33.00
DL,2111,2010-08-21,1500,0.00
DL,2011,2010-08-21,1615,10.00
DL,2111,2010-08-22,1500,0.00
DL,2011,2010-08-22,1615,4.00
DL,1911,2010-08-22,1717,51.00
DL,2111,2010-08-23,1500,2.00
DL,2011,2010-08-23,1615,9.00
DL,1911,2010-08-23,1717,-1.00
DL,2111,2010-08-24,1500,24.00
DL,2011,2010-08-24,1615,1.00
DL,1911,2010-08-24,1717,-2.00
DL,2111,2010-08-25,1500,15.00
DL,2011,2010-08-25,1615,-2.00
DL,1911,2010-08-25,1717,107.00
DL,2111,2010-08-26,1500,1.00
DL,2011,2010-08-26,1615,-4.00
DL,1911,2010-08-26,1717,14.00
DL,2111,2010-08-27,1500,0.00
DL,2011,2010-08-27,1615,-4.00
DL,1911,2010-08-27,1717,-3.00
DL,2111,2010-08-28,1500,0.00
DL,2011,2010-08-28,1615,-3.00
DL,2111,2010-08-29,1500,-3.00
DL,2011,2010-08-29,1615,13.00
DL,1911,2010-08-29,1717,16.00
DL,2111,2010-08-30,1500,-4.00
DL,2011,2010-08-30,1615,0.00
DL,1911,2010-08-30,1717,-2.00
DL,2111,2010-08-31,1500,-2.00
DL,2011,2010-08-31,1615,-2.00
DL,1911,2010-08-31,1717,-3.00
DL,2111,2010-09-01,1500,-4.00
DL,2011,2010-09-01,1615,
DL,1911,2010-09-01,1717,74.00
DL,2111,2010-09-02,1500,4.00
